who,what,when,where,why,how,sentence,original_text,chunk_index,field_count,umap_x,umap_y,umap_x_3d,umap_y_3d,umap_z_3d,cluster,color_temporal,hover_text
Keimer,died,"a few
years",,,,"Keimer died during a few
years","The person that bought them employ'd Keimer to use them, but in a few
years he died.",0,3,6.2117076,8.330304,7.380069,12.078835,0.96731,0,0,"<b>Who:</b> Keimer<br><b>What:</b> died<br><b>Where:</b> <br><b>When:</b> a few
years<br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,remained competitor,,"Philadelphia, Bradford",rich and easy,me,Someone remained competitor in Philadelphia because rich and easy by me,"There remained now no competitor with me at Philadelphia but the old
one, Bradford; who was rich and easy, did a little printing now and then
by straggling hands, but was not very anxious about the ...",0,4,10.429317,8.013254,5.7654896,12.738306,3.5558162,0,0,"<b>Who:</b> <br><b>What:</b> remained competitor<br><b>Where:</b> Philadelphia, Bradford<br><b>When:</b> <br><b>Why:</b> rich and easy<br><b>How:</b> me<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,thought,,Bradford,he kept the post-office,post,Someone thought in Bradford because he kept the post-office by post,"However, as he kept the post-office, it was imagined he had better
opportunities of obtaining news; his paper was thought a better
distributer of advertisements than mine, and therefore had many mor...",0,4,7.087905,8.831503,6.985699,12.702233,1.5741119,0,0,<b>Who:</b> <br><b>What:</b> thought<br><b>Where:</b> Bradford<br><b>When:</b> <br><b>Why:</b> he kept the post-office<br><b>How:</b> post<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,worked,,,"his
glazier's business",Godfrey,"Someone worked because his
glazier's business by Godfrey","I had hitherto continu'd to board with Godfrey, who lived in part of my
house with his wife and children, and had one side of the shop for his
glazier's business, tho' he worked little, being always...",0,3,8.428697,7.741678,7.281308,13.149383,3.0424678,0,0,"<b>Who:</b> <br><b>What:</b> worked<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> his
glazier's business<br><b>How:</b> Godfrey<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
Godfrey,projected match,,,"me with a relation's
daughter",daughter,"Godfrey projected match because me with a relation's
daughter by daughter","Mrs. Godfrey projected a match for me with a relation's
daughter, took opportunities of bringing us often together, till a
serious courtship on my part ensu'd, the girl being in herself very
deserv...",0,4,8.42119,7.6318855,7.348189,13.046761,3.0937717,0,0,"<b>Who:</b> Godfrey<br><b>What:</b> projected match<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> me with a relation's
daughter<br><b>How:</b> daughter<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,encourag'd me,,,"time to
explain",invitations,"Someone encourag'd me because time to
explain by invitations","The old folks encourag'd me by continual invitations to
supper, and by leaving us together, till at length it was time to
explain.",0,3,10.2959795,12.299984,5.1540737,16.385603,3.5738194,0,0,"<b>Who:</b> <br><b>What:</b> encourag'd me<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> time to
explain<br><b>How:</b> invitations<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
Godfrey,,,,,,Godfrey did something,Mrs. Godfrey manag'd our little treaty.,0,1,8.463689,7.673412,7.3161488,13.039501,3.1036277,0,0,<b>Who:</b> Godfrey<br><b>What:</b> <br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,let,,,"much money with their daughter as would pay off my remaining
debt for the printing-house",daughter,"Someone let because much money with their daughter as would pay off my remaining
debt for the printing-house by daughter","I let her know that I
expected as much money with their daughter as would pay off my remaining
debt for the printing-house, which I believe was not then above a
hundred pounds.",0,3,9.181937,10.617604,5.428718,14.844644,2.6778607,0,0,"<b>Who:</b> <br><b>What:</b> let<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> much money with their daughter as would pay off my remaining
debt for the printing-house<br><b>How:</b> daughter<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,said,,,,,Someone said,"She brought me word they had no such sum to spare; I
said they might mortgage their house in the loan-office.",0,1,10.07446,15.246752,6.251557,18.811575,4.274439,0,0,<b>Who:</b> <br><b>What:</b> said<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
"S. Keimer, D. Harry",failed,some days,Bradford,,probably,"S. Keimer, D. Harry failed in Bradford during some days by probably","The answer to
this, after some days, was, that they did not approve the match; that,
on inquiry of Bradford, they had been inform'd the printing business was
not a profitable one; the types would s...",0,5,6.72794,8.557464,7.2148447,12.464923,1.3674587,0,0,"<b>Who:</b> S. Keimer, D. Harry<br><b>What:</b> failed<br><b>Where:</b> Bradford<br><b>When:</b> some days<br><b>Why:</b> <br><b>How:</b> probably<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,know,,,a real change of sentiment or only artifice,,Someone know because a real change of sentiment or only artifice,"Whether this was a real change of sentiment or only artifice, on a
supposition of our being too far engaged in affection to retract, and
therefore that we should steal a marriage, which would leave ...",0,2,8.490782,12.613876,6.583736,17.026423,2.656323,0,0,<b>Who:</b> <br><b>What:</b> know<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> a real change of sentiment or only artifice<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
Godfrey,brought me accounts,,,,absolutely,Godfrey brought me accounts by absolutely,"Mrs. Godfrey
brought me afterward some more favorable accounts of their disposition,
and would have drawn me on again; but I declared absolutely my
resolution to have nothing more to do with that f...",0,3,8.442128,7.6494985,7.32319,13.051809,3.069737,0,0,<b>Who:</b> Godfrey<br><b>What:</b> brought me accounts<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> absolutely<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
Godfreys,removed,,,resented by the Godfreys; we differ'd,Godfreys,Godfreys removed because resented by the Godfreys; we differ'd by Godfreys,"This was
resented by the Godfreys; we differ'd, and they removed, leaving me the
whole house, and I resolved to take no more inmates.",0,4,8.444499,7.6173186,7.336274,13.023566,3.0877697,0,0,<b>Who:</b> Godfreys<br><b>What:</b> removed<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> resented by the Godfreys; we differ'd<br><b>How:</b> Godfreys<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,turned thoughts,,,"not
to expect money with a wife",generally,"Someone turned thoughts because not
to expect money with a wife by generally","But this affair having turned my thoughts to marriage, I look'd round me
and made overtures of acquaintance in other places; but soon found that,
the business of a printer being generally thought a ...",0,3,9.220777,12.647019,6.1838183,16.590279,3.2183974,0,0,"<b>Who:</b> <br><b>What:</b> turned thoughts<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> not
to expect money with a wife<br><b>How:</b> generally<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,hurried me,,,"sion of youth hurried me frequently into intrigues with low women
that fell in my way",frequently,"Someone hurried me because sion of youth hurried me frequently into intrigues with low women
that fell in my way by frequently","In the mean time, that hard-to-be-governed
passion of youth hurried me frequently into intrigues with low women
that fell in my way, which were attended with some expense and great
inconvenience, b...",0,3,10.551647,12.358663,5.3807898,16.28122,4.017344,0,0,"<b>Who:</b> <br><b>What:</b> hurried me<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> sion of youth hurried me frequently into intrigues with low women
that fell in my way<br><b>How:</b> frequently<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
Read,continued,,,"neighbors and old acquaintances had continued
between me and Mrs",,"Read continued because neighbors and old acquaintances had continued
between me and Mrs","A
friendly correspondence as neighbors and old acquaintances had continued
between me and Mrs. Read's family, who all had a regard for me from the
time of my first lodging in their house.",0,3,9.968029,11.378442,5.138194,15.725239,2.8290253,0,0,"<b>Who:</b> Read<br><b>What:</b> continued<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> neighbors and old acquaintances had continued
between me and Mrs<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,invited,,,"often invited there and
consulted in their affairs",,"Someone invited because often invited there and
consulted in their affairs","I was often invited there and
consulted in their affairs, wherein I sometimes was of service.",0,2,10.27802,12.195474,5.061584,16.277273,3.4301505,0,0,"<b>Who:</b> <br><b>What:</b> invited<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> often invited there and
consulted in their affairs<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,considered giddiness,,London,"in a great degree the cause of her
unhappiness",,"Someone considered giddiness in London because in a great degree the cause of her
unhappiness","I considered my giddiness and
inconstancy when in London as in a great degree the cause of her
unhappiness, tho' the mother was good enough to think the fault more her
own than mine, as she had pre...",0,3,9.999701,10.173965,4.4928637,14.034767,3.2955666,0,0,"<b>Who:</b> <br><b>What:</b> considered giddiness<br><b>Where:</b> London<br><b>When:</b> <br><b>Why:</b> in a great degree the cause of her
unhappiness<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,revived,,,revived,,Someone revived because revived,"Our mutual affection was
revived, but there were now great objections to our union.",0,2,11.530162,13.5402155,4.820291,17.42913,4.5939846,0,0,<b>Who:</b> <br><b>What:</b> revived<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> revived<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,call'd pay,,,,,Someone call'd pay,"Then, tho' it should be true, he had left many debts, which his
successor might be call'd upon to pay.",0,1,10.107954,13.401676,6.080342,16.855814,4.354047,0,0,<b>Who:</b> <br><b>What:</b> call'd pay<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,ventured difficulties,"September 1st, 1730",,,,"Someone ventured difficulties during September 1st, 1730","We ventured, however, over all
these difficulties, and I took her to wife, September 1st, 1730.",0,2,9.511156,9.040365,5.198682,13.247942,2.2152698,0,0,"<b>Who:</b> <br><b>What:</b> ventured difficulties<br><b>Where:</b> <br><b>When:</b> September 1st, 1730<br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,throve,,,"sisted me much by attending the shop; we throve
together",mutually,"Someone throve because sisted me much by attending the shop; we throve
together by mutually","None of
the inconveniences happened that we had apprehended; she proved a good
and faithful helpmate, assisted me much by attending the shop; we throve
together, and have ever mutually endeavored t...",0,3,10.09203,12.346797,5.3167677,16.311924,3.5390315,0,0,"<b>Who:</b> <br><b>What:</b> throve<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> sisted me much by attending the shop; we throve
together<br><b>How:</b> mutually<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,corrected erratum,,,well as I could,,Someone corrected erratum because well as I could,Thus I corrected that great erratum as well as I could.,0,2,8.549336,13.5822525,6.820441,16.759632,3.8081477,0,0,<b>Who:</b> <br><b>What:</b> corrected erratum<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> well as I could<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
Grace,,,,"our books were often referr'd to in our disquisitions
upon the queries",me,"Grace did something because our books were often referr'd to in our disquisitions
upon the queries by me","About this time, our club meeting, not at a tavern, but in a little room
of Mr. Grace's, set apart for that purpose, a proposition was made by
me, that, since our books were often referr'd to in our...",0,3,8.109888,10.109936,6.4212155,15.008091,2.0758123,0,0,"<b>Who:</b> Grace<br><b>What:</b> <br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> our books were often referr'd to in our disquisitions
upon the queries<br><b>How:</b> me<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,set project,,,"a
subscription library",,"Someone set project because a
subscription library","And now I set on foot my first project of a public nature, that for a
subscription library.",0,2,10.070987,11.497554,5.2042894,15.389357,3.10134,0,0,"<b>Who:</b> <br><b>What:</b> set project<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> a
subscription library<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,drew proposals,fifty years,Brockden,"to
continue",scrivener,"Someone drew proposals in Brockden during fifty years because to
continue by scrivener","I drew up the proposals, got them put into form by
our great scrivener, Brockden, and, by the help of my friends in the
Junto, procured fifty subscribers of forty shillings each to begin with,
and ...",0,5,8.661123,9.925961,6.1498866,14.594824,2.159368,0,0,"<b>Who:</b> <br><b>What:</b> drew proposals<br><b>Where:</b> Brockden<br><b>When:</b> fifty years<br><b>Why:</b> to
continue<br><b>How:</b> scrivener<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,become thing,,,,continually,Someone become thing by continually,"It is become a great thing
itself, and continually increasing.",0,2,9.886626,12.426501,4.8906183,16.789894,2.8250318,0,0,<b>Who:</b> <br><b>What:</b> become thing<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> continually<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,improved conversation,,,intelligent as most gentlemen from other countries,generally,Someone improved conversation because intelligent as most gentlemen from other countries by generally,"These libraries have improved the
general conversation of the Americans, made the common tradesmen and
farmers as intelligent as most gentlemen from other countries, and
perhaps have contributed in...",0,3,9.316966,12.532869,5.749805,16.966108,2.5513706,0,0,<b>Who:</b> <br><b>What:</b> improved conversation<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> intelligent as most gentlemen from other countries<br><b>How:</b> generally<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,written,,,"written with the intention express'd in the beginning
and therefore contains several little family ",intention,"Someone written because written with the intention express'd in the beginning
and therefore contains several little family  by intention","Thus far was written with the intention express'd in the beginning
and therefore contains several little family anecdotes of no importance
to others.",0,3,8.318046,10.908224,5.7096305,15.640926,1.7914803,0,0,"<b>Who:</b> <br><b>What:</b> written<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> written with the intention express'd in the beginning
and therefore contains several little family <br><b>How:</b> intention<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,written,many years,,"written many years after in compliance with
the advice contain'd in these letters",advice,"Someone written during many years because written many years after in compliance with
the advice contain'd in these letters by advice","What follows was written many years after in compliance with
the advice contain'd in these letters, and accordingly intended for the
public.",0,4,8.503615,10.678299,5.480565,15.608371,1.9091127,0,0,"<b>Who:</b> <br><b>What:</b> written<br><b>Where:</b> <br><b>When:</b> many years<br><b>Why:</b> written many years after in compliance with
the advice contain'd in these letters<br><b>How:</b> advice<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,occasion'd interruption,,,ion'd the interruption,,Someone occasion'd interruption because ion'd the interruption,The affairs of the Revolution occasion'd the interruption.,0,2,7.058035,12.496285,7.580727,16.570198,2.396406,1,0,<b>Who:</b> <br><b>What:</b> occasion'd interruption<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> ion'd the interruption<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 1
Abel James,received,,Paris,,Notes,Abel James received in Paris by Notes,"Letter from Mr. Abel James,
with Notes of my Life (received in Paris).",0,4,9.181218,9.206125,5.8379803,13.693507,2.4017134,0,0,<b>Who:</b> Abel James<br><b>What:</b> received<br><b>Where:</b> Paris<br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> Notes<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,put,"the year
1730",thou,there fell into my hands,which,"Someone put in thou during the year
1730 because there fell into my hands by which","""Some time since there fell into my hands, to my great joy, about
twenty-three sheets in thy own handwriting, containing an account of the
parentage and life of thyself, directed to thy son, ending ...",0,5,9.422216,9.17556,5.1817093,13.348889,2.1771312,0,0,"<b>Who:</b> <br><b>What:</b> put<br><b>Where:</b> thou<br><b>When:</b> the year
1730<br><b>Why:</b> there fell into my hands<br><b>How:</b> which<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
Ben,,,,"the preacher tells us; and what will the world say if
kind",only,"Ben did something because the preacher tells us; and what will the world say if
kind by only","Life is
uncertain, as the preacher tells us; and what will the world say if
kind, humane, and benevolent Ben. Franklin should leave his friends and
the world deprived of so pleasing and profitable ...",0,3,7.2916956,10.591663,6.512085,12.864838,2.560546,0,0,"<b>Who:</b> Ben<br><b>What:</b> <br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> the preacher tells us; and what will the world say if
kind<br><b>How:</b> only<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,leads youth,,,"good and eminent as the
journalist",insensibly,"Someone leads youth because good and eminent as the
journalist by insensibly","It almost insensibly leads the youth into the
resolution of endeavoring to become as good and eminent as the
journalist.",0,3,8.880706,11.38322,5.7558064,15.876767,2.4214811,0,0,"<b>Who:</b> <br><b>What:</b> leads youth<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> good and eminent as the
journalist<br><b>How:</b> insensibly<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,think,,,"s would
such a work be!",class,"Someone think because s would
such a work be! by class","Should thine, for instance, when published (and I think it
could not fail of it), lead the youth to equal the industry and
temperance of thy early youth, what a blessing with that class would
such ...",0,3,9.383836,13.607052,6.6544404,17.190416,3.9660614,0,0,"<b>Who:</b> <br><b>What:</b> think<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> s would
such a work be!<br><b>How:</b> class<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,know,,,"so much in his power as thyself to promote a greater
spirit of industry and early attention to busi",youth,"Someone know because so much in his power as thyself to promote a greater
spirit of industry and early attention to busi by youth","I know of no character living, nor many of them put
together, who has so much in his power as thyself to promote a greater
spirit of industry and early attention to business, frugality, and
tempera...",0,3,9.097529,11.513144,5.7361927,15.791689,2.70671,0,0,"<b>Who:</b> <br><b>What:</b> know<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> so much in his power as thyself to promote a greater
spirit of industry and early attention to busi<br><b>How:</b> youth<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,think,,,t importance that I know nothing that can equal it,,Someone think because t importance that I know nothing that can equal it,"Not that I think the work would have
no other merit and use in the world, far from it; but the first is of
such vast importance that I know nothing that can equal it.",0,2,8.996311,13.368229,6.3581905,17.477354,2.9607756,0,0,<b>Who:</b> <br><b>What:</b> think<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> t importance that I know nothing that can equal it<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
Benjamin Vaughan,received following,,,"egoing letter and the minutes accompanying it being shown to a
friend",,"Benjamin Vaughan received following because egoing letter and the minutes accompanying it being shown to a
friend","The foregoing letter and the minutes accompanying it being shown to a
friend, I received from him the following:

Letter from Mr. Benjamin Vaughan.",0,3,8.840116,8.984575,6.3795085,13.834212,3.2433305,0,0,"<b>Who:</b> Benjamin Vaughan<br><b>What:</b> received following<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> egoing letter and the minutes accompanying it being shown to a
friend<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,told you,minutes,,"ons
why I thought it would be useful to complete and publish it as he
desired",acquaintance,"Someone told you during minutes because ons
why I thought it would be useful to complete and publish it as he
desired by acquaintance","""My Dearest Sir: When I had read over your sheets of minutes of the
principal incidents of your life, recovered for you by your Quaker
acquaintance, I told you I would send you a letter expressing m...",0,4,8.818147,11.01447,5.3397107,15.726756,2.3049018,0,0,"<b>Who:</b> <br><b>What:</b> told you<br><b>Where:</b> <br><b>When:</b> minutes<br><b>Why:</b> ons
why I thought it would be useful to complete and publish it as he
desired<br><b>How:</b> acquaintance<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,tell you,,,"t prevented this letter
being written",writing interest,"Someone tell you because t prevented this letter
being written by writing interest","Various concerns have for some time past prevented this letter
being written, and I do not know whether it was worth any expectation;
happening to be at leisure, however, at present, I shall by writ...",0,3,8.616799,10.686299,5.7957306,15.331814,2.222118,0,0,"<b>Who:</b> <br><b>What:</b> tell you<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> t prevented this letter
being written<br><b>How:</b> writing interest<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,say,,,nearly to do as much harm,certainly,Someone say because nearly to do as much harm by certainly,"I would say to him, Sir, I solicit the
history of your life from the following motives: Your history is so
remarkable, that if you do not give it, somebody else will certainly
give it; and perhaps ...",0,3,8.974045,13.959506,6.7236996,17.836435,3.6188972,0,0,<b>Who:</b> <br><b>What:</b> say<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> nearly to do as much harm<br><b>How:</b> certainly<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,present table,,,,,Someone present table,"It will moreover present a table
of the internal circumstances of your country, which will very much tend
to invite to it settlers of virtuous and manly minds.",0,1,11.210539,12.865613,4.7501616,17.303347,3.6467593,0,0,<b>Who:</b> <br><b>What:</b> present table<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,know,,,mation is sought by them,which,Someone know because mation is sought by them by which,"And considering
the eagerness with which such information is sought by them, and the
extent of your reputation, I do not know of a more efficacious
advertisement than your biography would give.",0,3,9.698357,12.558871,5.5420218,16.744524,3.3497374,0,0,<b>Who:</b> <br><b>What:</b> know<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> mation is sought by them<br><b>How:</b> which<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,connected,,,"happened to
you is also connected with the detail of the manners and situation of a
rising people;",detail,"Someone connected because happened to
you is also connected with the detail of the manners and situation of a
rising people; by detail","All that has happened to
you is also connected with the detail of the manners and situation of a
rising people; and in this respect I do not think that the writings of
Cæsar and Tacitus can be more...",0,3,9.983708,12.289836,5.230025,16.573046,3.0496573,0,0,"<b>Who:</b> <br><b>What:</b> connected<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> happened to
you is also connected with the detail of the manners and situation of a
rising people;<br><b>How:</b> detail<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,give rule,,,,,Someone give rule,"The two
works I allude to, sir, will in particular give a noble rule and example
of self-education.",0,1,10.573462,14.582141,5.499476,18.233358,4.3030624,0,0,<b>Who:</b> <br><b>What:</b> give rule<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,proceed,,,onable course in life,constantly,Someone proceed because onable course in life by constantly,"School and other education constantly proceed upon
false principles, and show a clumsy apparatus pointed at a false mark;
but your apparatus is simple, and the mark a true one; and while parents
an...",0,3,9.355154,12.555028,5.415409,16.818563,2.7137945,0,0,<b>Who:</b> <br><b>What:</b> proceed<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> onable course in life<br><b>How:</b> constantly<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,teach education,,,,merely,Someone teach education by merely,"But your biography will not merely teach
self-education, but the education of a wise man; and the wisest man will
receive lights and improve his progress, by seeing detailed the conduct
of another ...",0,2,7.8240886,11.540909,6.537331,16.138275,2.2023823,0,0,<b>Who:</b> <br><b>What:</b> teach education<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> <br><b>How:</b> merely<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,have use,,,we want,,Someone have use because we want,"""The little private incidents which you will also have to relate, will
have considerable use, as we want, above all things, rules of prudence
in ordinary affairs; and it will be curious to see how y...",0,2,9.267775,13.6225195,6.2231736,17.424868,3.546795,0,0,<b>Who:</b> <br><b>What:</b> have use<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> we want<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,have air,,,"much originality as if you had been conducting discussions in
politics or philosophy; and what more",originality,"Someone have air because much originality as if you had been conducting discussions in
politics or philosophy; and what more by originality","The nearest thing to having experience of
one's own, is to have other people's affairs brought before us in a
shape that is interesting; this is sure to happen from your pen; our
affairs and manage...",0,3,8.459955,12.017741,6.0700865,16.51606,2.240899,0,0,"<b>Who:</b> <br><b>What:</b> have air<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> much originality as if you had been conducting discussions in
politics or philosophy; and what more<br><b>How:</b> originality<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,speculated,,,tically,blindly,Someone speculated because tically by blindly,"""Some men have been virtuous blindly, others have speculated
fantastically, and others have been shrewd to bad purposes; but you,
sir, I am sure, will give under your hand, nothing but what is at th...",0,3,8.603337,13.2451315,6.7364373,17.146502,3.1742728,0,0,<b>Who:</b> <br><b>What:</b> speculated<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> tically<br><b>How:</b> blindly<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
Franklin,suppose,,,hamed of no origin; a thing the more important,only,Franklin suppose because hamed of no origin; a thing the more important by only,"Your account of yourself (for I
suppose the parallel I am drawing for Dr. Franklin, will hold not only
in point of character, but of private history) will show that you are
ashamed of no origin; a ...",0,4,9.738748,7.7605824,6.1659765,12.511159,2.642559,0,0,<b>Who:</b> Franklin<br><b>What:</b> suppose<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> hamed of no origin; a thing the more important<br><b>How:</b> only<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0
,find,,,"no
end likewise happens without a means",which,"Someone find because no
end likewise happens without a means by which","As no
end likewise happens without a means, so we shall find, sir, that even
you yourself framed a plan by which you became considerable; but at the
same time we may see that though the event is fl...",0,3,11.90556,13.064366,4.582058,17.005333,3.2113624,0,0,"<b>Who:</b> <br><b>What:</b> find<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> no
end likewise happens without a means<br><b>How:</b> which<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,demonstrated,,,"his time for appearing upon the
stage of the world",,"Someone demonstrated because his time for appearing upon the
stage of the world","Another thing demonstrated will be the
propriety of every man's waiting for his time for appearing upon the
stage of the world.",0,2,9.848188,12.326032,5.53667,16.930817,2.7521553,0,0,"<b>Who:</b> <br><b>What:</b> demonstrated<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> his time for appearing upon the
stage of the world<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
,appears applied,,,"sing moments of it have been enlivened with content and
enjoyment",content,"Someone appears applied because sing moments of it have been enlivened with content and
enjoyment by content","Your attribution appears to have been applied to your life,
and the passing moments of it have been enlivened with content and
enjoyment, instead of being tormented with foolish impatience or
regre...",0,3,8.909657,12.532928,6.0771317,16.923027,2.491834,0,0,"<b>Who:</b> <br><b>What:</b> appears applied<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> sing moments of it have been enlivened with content and
enjoyment<br><b>How:</b> content<br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
Franklin,praised frugality,,,"a pattern for all youth; but it is singular that he should have
forgotten your modesty and your dis",,"Franklin praised frugality because a pattern for all youth; but it is singular that he should have
forgotten your modesty and your dis","Your Quaker correspondent, sir (for here
again I will suppose the subject of my letter resembling Dr. Franklin),
praised your frugality, diligence and temperance, which he considered as
a pattern f...",0,3,9.75587,7.7665973,6.0982556,12.56262,2.7430406,0,0,"<b>Who:</b> Franklin<br><b>What:</b> praised frugality<br><b>Where:</b> <br><b>When:</b> <br><b>Why:</b> a pattern for all youth; but it is singular that he should have
forgotten your modesty and your dis<br><b>How:</b> <br><b>Chunk:</b> 0<br><b>Cluster:</b> 0"
